gene_id,SRR17133380,SRR17133381,SRR17133382,SRR17133383,SRR17133384,SRR17133385,SRR17133386,SRR17133387
Cep295,861.87649,833.44981,866.608825,502.908136,753.744605452,671.35476,621.36905,819.83348
Cep295nl,3.0,12.0,0.0,1.0,1.0,0.0,2.0,3.0
Cep350,3633.00128,4015.00264,4051.00346,2528.0006000000003,2212.00488,2075.9991999999997,2160.99807,3152.9989900000005
Cep41,286.00007,248.99997,2743.0033,2403.9978499999997,1437.9985700000002,1657.00275,1583.00481,1739.9965
Cep43,426.6065,391.3323,588.2193,477.27709999999996,553.7891999999999,613.2437,633.0278400000001,659.3336
Cep44,251.10732000000002,224.57363,207.81211,163.8255,250.74105,291.91471,267.08625,263.56458
Cep55,23.000033723530002,24.00002,39.000032,49.0,275.999800386429,337.99961,422.0003,394.999751
Cep57,861.2026999999999,846.09792158287,881.935426,624.33907028827,655.5022200000001,775.287094,800.59281,836.9242722385
Cep57l1,369.4424700108454,402.05746999999997,90.999920824041,60.9999668,168.999953313,173.000010104786,145.999961,127.92793
Cep63,555.0346,544.8777038762601,517.3266345,399.8444485,461.99958,487.57675003438044,433.26939,442.3454646
Cep68,1186.00448,1166.00056,940.0002689999999,734.9997,1408.9996999999998,1547.0,996.9996,1156.99977
Cep70,62.00009,91.00005,123.00003000000001,120.00006599999999,156.99998300000001,177.999998,131.00002,131.00004
Cep72,63.00004,80.13221300000001,63.999967,50.999944,168.99993,157.000082,100.99996,108.00007
Cep76,268.99961533,268.00035,261.0,183.00036,237.00000110053,264.99954,346.0,357.0
Cep78,89.030969,93.0000000111276,161.03064,122.809,161.55892,179.11,201.1012,228.05959
Cep83,541.0745,473.08423999999997,531.3485,340.0996,673.0667100000001,811.0412000000001,723.0662,719.0732
Cep83os,76.39468000000001,92.47542,97.24448000000001,138.75424999999998,234.5498,252.47471,127.46763,168.28978
Cep85,720.9083099999999,1088.13634,4212.50945,4905.346460000001,1726.19086,2408.46478,2296.97829,2131.8772
Cep85l,213.815,212.030721,885.50883,560.158,737.482,751.173,730.417,872.8868100000001
Cep89,139.38758,103.73298,119.088234,84.77026,167.67471,169.46003,173.03357000000003,181.711688
Cep95,527.87287,542.88364,704.92903,534.9996,427.95717,388.85901,453.80441,459.00021000000004
Cep97,908.6380899999999,940.9746,336.81134,306.03532,494.04588,484.9924,403.68032999999997,439.9327
Cept1,736.9255899999999,642.9983000000001,1029.675243644,933.48559127,1088.09436,1155.4355,1013.0308212583,905.1127799999999
Cer1,0.0,0.0,0.0,0.0,0.0,0.0,1.01335,0.0
Cercam,55.97958,59.0245,27.8687,27.62423,18.346785,27.68341,72.3107,70.4063
Cerk,1119.0,1127.9996,1968.0030000000002,1484.0,1701.0,2013.0,1815.9994,1902.999
Cerkl,79.54632,35.7753,48.73320999999999,80.9547169081,68.19189,108.95763,66.17007002249579,75.99323
Cerox1,19.002624121536698,9.9999997978,72.007941,96.01120689300001,23.0007686922935,34.843705684,37.00117033,47.004370048204
Cers1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.954473295
Cers2,2606.7349999999997,2440.72608,3342.1101000000003,2573.6470999999997,2744.79482,3060.43735,3002.04209,2920.44274
Cers3,1.0,1.0,0.0,0.0,2.0,1.0,2.000004,0.0
Cers4,286.06974,270.05163999999996,1065.0111000000002,880.0985999999999,564.2973,602.9176,548.20798,619.5146
Cers5,839.00038,792.9998999999999,1041.0001,1007.9999,1112.9999,1297.0034999999998,1155.9972,1131.9999
Cers6,206.0001,214.00011,845.00045114947,598.99978,704.99982,770.00004,615.0000299999999,668.99952
Cert1,1035.9995999999999,991.0001,2088.9986,1549.9958000000001,1732.9299500000002,1787.30075,1258.00484,1388.99987
Ces1a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ces1b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ces1c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ces1d,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ces1e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ces1f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ces1g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ces1h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ces2a,0.0,0.0,1.00419,0.0,0.0,0.0,0.0,0.0
Ces2b,1.49626,6.72537e-06,3.02451,10.983460000000001,16.50366,17.22365,10.9057,10.55927
Ces2c,32.9557,20.6346,1021.91,1081.3026300000001,1586.66,1701.19741,1383.51,1412.41814
Ces2e,0.0,0.0,0.0,1.40728,0.0,1.07664,0.0,1.01401
Ces2f,0.0,0.0,1.04128,1.20448,1.26615,3.251187,1.03725,2.027284
Ces2g,17.5481,6.0,30.1531,7.56566,9.30705,9.22333,77.8832,58.0153
Ces2h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ces3a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ces3b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ces4a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ces5a,0.0,0.0,0.0,1.4125,0.0,0.0,0.0,0.0
Cetn1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cetn2,644.00024,562.9996600000001,821.00012,802.0,547.00053,714.0003899999999,659.0,605.0
Cetn3,554.84573,464.71871,436.87999,385.99524,506.96558,671.872,548.93862,482.94563
Cetn4,0.0,0.0,13.0,18.00001,18.99999,15.00001,58.99996,61.00009
Cfap100,11.0,4.0,5.0,2.0,5.0,3.0,6.0,7.0
Cfap107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cfap126,4.0,3.0,26.99995,16.99999,33.00001,32.000004999999994,51.99995614,51.99995
Cfap141,92.992,110.915,84.9899,67.1247,77.5943,77.6592,66.2729,52.4631
Cfap157,5.2269,3.08118,9.67724,12.75569,21.22309,24.9792,54.82923,56.37661
Cfap161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cfap20,472.98136,433.72931,695.1363600000001,563.2779,675.6288,687.31555,758.532160736745,849.62393
Cfap206,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Cfap20dc,0.0,0.0,2.0,3.0,21.999950000000002,36.00004,81.00001,56.0
Cfap221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cfap276,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
Cfap298,258.00003000000004,259.0,125.00001,85.99997,209.00001,279.99996,324.0002,266.00009
Cfap299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cfap300,1.9999950000000002,1.9999950000000002,13.0,7.0,20.0,20.0,18.00002,21.000010999999997
Cfap36,222.00018,196.00036,245.0004323,212.0,307.00046375287,371.00006,367.99960999999996,350.0
Cfap410,231.0004,261.999873,181.0,148.0000400678585,135.00006,137.999872,247.8610805807,206.9999
Cfap418,118.99994000000001,117.00005,120.99999,100.99999,192.0002,238.99993,144.99997,163.0
Cfap43,16.0,4.0,16.0,11.04302,11.0,15.0,15.0,14.0
Cfap44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cfap45,1.00226,5.005186,3.0044,1.00145,4.00902,6.00349,5.01107,4.005503
Cfap46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cfap47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cfap52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cfap53,1.0,1.0,2.0000037,2.0,2.0,1.0,2.0,0.0
Cfap54,4.0,3.0,2.99999574,3.00037,9.999998999999999,19.999961,22.999957900000002,23.000298
Cfap57,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
Cfap58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cfap61,9.0,9.0,2.0,5.0,3.0,6.0,4.0,2.0
Cfap65,0.0,0.0,1.0,0.0,1.0,2.00795,0.0,0.0
Cfap69,18.000026,8.000001,464.000010408198,392.99994,264.9999782,224.9999,34.00001,28.999949
Cfap70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cfap73,4.0614,12.1748,7.12503,4.02053,1.00563,2.00921,4.04953,7.04828
Cfap74,67.9381183,156.4124926,80.03207,50.08143,86.63685004084951,70.80650209000001,56.1245833,62.039359999999995
Cfap77,8.0,15.00002,43.00001,37.0,43.0,75.03215,14.000020000000001,7.9999976
Cfap91,5.35593,3.44893,9.63947,1.0,7.048970000000001,8.24085,18.639989999999997,26.542610000000003
Cfap95,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Cfap97,407.00037,356.99979,707.07916,593.99985,729.00005,809.999832623,557.99987,560.8700200000001
Cfap97d1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cfap97d2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Cfap99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cfb,24.00003,60.999910786818,25.575079,32.999959,36.99999,23.90207683,52.21322,58.21079099999999
Cfc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cfd,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0
Cfdp1,848.0,808.0,716.0,658.0,920.0,954.0,1004.0,925.0
Cfh,0.0,3.0,3.9999969999999996,5.0,6.9999900965687,2.0,8.999990077727,7.0
Cfhr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cfhr2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cfhr4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cfi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cfl1,22197.946000000004,23266.049,21919.0936,19185.9222,23532.891300000003,29795.6189,34985.4125,31875.0756
Cfl2,121.00018,124.0,150.00011,142.7843925,180.93539,166.00002,148.000023253,166.97642000000002
Cflar,1565.18727,1711.05539,1506.6574,1162.75275,951.42248,1105.2098,942.29398,1023.1889
Cfp,179.00026,145.00046,148.99951,169.0002,86.99998000000001,103.0,198.99970000000002,162.00002
Cftr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cga,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Cgas,219.5954,197.9393,94.25150170511999,79.64507,115.3884,95.978,100.25858183573001,93.099099
Cggbp1,2552.996,2407.999,2582.004,1836.002,2308.005,2739.004,2346.0029999999997,2385.001
Cgn,1.9999984455697,3.9999971497812,0.0,0.0,0.0,0.0,1.08526,0.0
Cgnl1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
Cgref1,1.0,3.69215,2.49231,2.8213999999999997,2.87177,4.10849,1.2251,0.0
Cgrrf1,91.99992,106.99998,121.0001,103.99997,111.99999,118.99954,177.00042000000002,159.00046
Ch25h,11.9634,12.9235,3.0,1.0,0.0,0.0,7.0,0.0
Chac1,1.0,2.0,0.0,2.0,0.0,0.0,10.0,10.0
Chac2,16.0,14.0,20.99999,28.0,51.0,56.0,43.0,59.0
Chad,2.0,3.0,4.0,2.0,3.0,4.0,1.0,3.0
Chadl,59.05335,28.75504,77.9907,64.22919999999999,72.60587000000001,78.58749,47.7666,61.89409
Chaer1,11.0,6.0,13.0,8.0,19.99996,18.99995,24.0,20.99998
Chaf1a,93.284,113.644877,133.33426995,96.3637,595.2872218387,694.53648,797.0964,888.4177999999999
Chaf1b,205.99969,254.9999,124.15365,104.99954387612,263.00029,344.279970013276,470.99967,457.591238
Champ1,756.0,680.0,664.99986,484.0,704.0004,830.0,768.0,822.0
Chaserr,5224.578399999999,4747.3787999999995,2557.32063,1835.0774999999999,1456.5232,1263.0488,1778.31769,1509.2989
Chat,0.0,0.0,1.00658,0.0,0.0,0.0,0.0,0.0
Chchd1,292.57370000000003,292.1145,169.3794,175.684,369.31129999999996,471.5251,384.12039,290.78740000000005
Chchd10,268.7733,298.5582,100.99999,88.33108,264.938,292.0444,393.2022,388.0792
Chchd2,2472.8772,2414.3504999999996,1964.1806,1595.4511,2214.832,2606.3589,2687.9741999999997,2355.6931999999997
Chchd2l,29.25748,27.74156,27.862859999999998,21.57069,47.30701,60.65549,70.28826,54.48836
Chchd3,1666.0042075814001,1606.9994,1067.0004999999999,887.0007722959,1485.9992399999999,1745.003750576754,1372.00418,1390.00015
Chchd4,105.99983,125.99950000000001,133.0001,111.99959,267.99973,244.0003,234.9999,192.00050000000002
Chchd5,186.0004,157.0001,168.00009999999997,150.00029999999998,240.00029999999998,274.9998,243.00026,225.9995
Chchd6,34.00001,37.0,7.0,7.0,8.0,14.0,33.00002,33.99996
Chchd7,280.0002,316.00021,287.00004,242.99992,242.99996,236.00005,214.99994999999998,238.99998000000002
Chd1,3190.998,3304.0011,2888.00097,1736.9979,2692.998218272,3095.9976,3137.99843,3708.0023
Chd1l,1008.00018,1025.00143,882.9997000000001,669.99961,800.00012,905.99975,963.00046,947.00021
Chd2,4219.87132,4194.7110999999995,4185.70279,2406.9242400000003,1887.17815,1887.95088,2728.681850702568,3295.99412
Chd3,12859.995635,13952.000567840001,8532.99805138,5207.000349772,8585.004210291,9335.009780241871,6442.29992,7204.990662098
Chd4,8983.99362465,9512.00527281,6496.004073127001,4169.0018637327,10106.99974239,11040.997184930002,10153.709647674501,11260.99469351
Chd5,13.0,21.999990725950003,20.0,5.0,3.0,3.999998,14.000029999999999,12.0
Chd6,1869.99645,1939.99652,2651.99641,1765.0027,1759.99795,1696.00098,1307.9952700000001,1685.99982
Chd7,3859.99864,4321.9953000000005,2670.99555,1725.9953600000001,1892.99799,2157.99685,2130.0016800000003,2504.00381
Chd8,4560.068270714401,4857.511700011682,4593.913914651001,2653.187785,3727.97508141748,3818.61958,3513.44652,4237.00242
Chd9,1547.47812158778,1710.07769509,2532.385378064,2066.8415,1719.83077,1983.456009,2001.57408,2221.015906
Chdh,3.246603,6.56387,19.4116,17.3585,77.6653,67.9293,30.55325,44.7646
Chek1,68.00345999999999,52.00949,46.003910000000005,33.0,190.00342999999998,218.013,248.0158,260.0131728
Chek2,90.007284183,90.22581,100.303284,84.0918609,213.01463,260.6377,191.95389999999998,190.277701656
Cherp,2527.3813,2849.63992,2648.68144,1956.6583,2095.184,2378.64309,2488.7335,2534.38807
Chfr,1289.98445,1254.32707,1281.2652697,949.1769239,1665.8059600000001,1861.19520138651,2034.60071,2049.73027
Chga,1.01097,1.0,0.0,0.0,1.00046,0.0,2.0050220000000003,7.0636399999999995
Chgb,3.0,2.0,5.0,1.0,3.0,2.0,3.0,2.0
Chia1,0.0,7.0,2.9999960000000003,1.00794,1.0,4.0,5.0,2.9999960000000003
